"1","1","1","بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ","اللہ کے نام سے جو رحمان و رحیم ہے","In the name of Allah, the Merciful, the Compassionate"
"2","1","2","الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ","تعریف اللہ ہی کے لیے ہے جو تمام کائنات کا رب ہے","Praise be to Allah, the Lord of the entire universe."
"3","1","3","الرَّحْمَـٰنِ الرَّحِيمِ","رحمان اور رحیم ہے","The Merciful, the Compassionate"
"4","1","4","مَالِكِ يَوْمِ الدِّينِ","روز جزا کا مالک ہے","The Master of the Day of Recompense."
"5","1","5","إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ","ہم تیری ہی عبادت کرتے ہیں اور تجھی سے مدد مانگتے ہیں","You alone do we worship, and You alone do we turn for help"
"6","1","6","اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ","ہمیں سیدھا راستہ دکھا","Direct us on to the Straight Way,"
"7","1","7","صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ","اُن لوگوں کا راستہ جن پر تو نے انعام فرمایا، جو معتوب نہیں ہوئے، جو بھٹکے ہوئے نہیں ہیں","The way of those whom You have favoured, who did not incur Your wrath, who are not astray."
"8","2","1","بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ الم","الف لام میم","Alif. Lam. Mim."
"9","2","2","ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ","یہ اللہ کی کتاب ہے، اس میں کوئی شک نہیں ہدایت ہے اُن پرہیز گار لوگوں کے لیے","This is the Book of Allah: there is no doubt about it. It is guidance to Godfearing people,"
"10","2","3","الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ","جو غیب پر ایمان لاتے ہیں، نماز قائم کرتے ہیں، جو رزق ہم نے اُن کو دیا ہے، اُس میں سے خرچ کرتے ہیں","who believe in the unseen, establish the Salats and expend (in Our way) out of what We have bestowed on them;"
"11","2","4","وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ","جو کتاب تم پر نازل کی گئی ہے (یعنی قرآن) اور جو کتابیں تم سے پہلے نازل کی گئی تھیں ان سب پر ایمان لاتے ہیں اور آخرت پر یقین رکھتے ہیں","who believe in the Book We have sent down to you (i.e. the Qur'an) and in the Books sent down before you, and firmly believe in the Hereafter."
"12","2","5","أُولَـٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَـٰئِكَ هُمُ الْمُفْلِحُونَ","ایسے لوگ اپنے رب کی طرف سے راہ راست پر ہیں اور وہی فلاح پانے والے ہیں","Such people are on the right way from their Lord and such are truly successful."
"13","2","6","إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ","جن لوگوں نے (اِن باتوں کو تسلیم کرنے سے) انکار کر دیا، اُن کے لیے یکساں ہے، خواہ تم انہیں خبردار کرو یا نہ کرو، بہرحال وہ ماننے والے نہیں ہیں","As for those who have rejected (these things), it is all the same to them whether you warn them or do not warn them: they are not going to believe."
"14","2","7","خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ","اللہ نے ان کے دلوں اور ان کے کانوں پر مہر لگا دی ہے اور ان کی آنکھوں پر پردہ پڑ گیا ہے وہ سخت سزا کے مستحق ہیں","Allah has sealed up their hearts and ears and a covering has fallen over their eyes, and they have incurred the severest punishment."
"15","2","8","وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ","بعض لوگ ایسے بھی ہیں جو کہتے ہیں کہ ہم اللہ پر اور آخرت کے دن پر ایمان لائے ہیں، حالانکہ در حقیقت وہ مومن نہیں ہیں","Then there are some who say, ""We believe in Allah and the Last Day"", whereas they do not believe at all."
"16","2","9","يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ","وہ اللہ اور ایمان لانے والوں کے ساتھ دھوکہ بازی کر رہے ہیں، مگر دراصل وہ خود اپنے آپ ہی کو دھوکے میں ڈال رہے ہیں اور انہیں اس کا شعور نہیں ہے","They thus try to deceive Allah and the Believers, but they succeed in deceiving none except themselves and they realize it not."
"17","2","10","فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ","ان کے دلوں میں ایک بیماری ہے جسے اللہ نے اور زیادہ بڑھا دیا، اور جو جھوٹ وہ بولتے ہیں، اس کی پاداش میں ان کے لیے درد ناک سزا ہے","In their hearts is a disease which Allah has increased all the more and a painful doom is in store for them for the lie they utter."
"18","2","11","وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ","جب کبھی ان سے کہا گیا کہ زمین پر فساد برپا نہ کرو تو انہوں نے یہی کہا کہ ہم تو اصلاح کرنے والے ہیں","Whenever it is said to them, ""Spread not disorder on the earth"", their reply is, ""We only seek to put things aright""."
